Hazard Name,Hazard Description,Likelihood,Severity
Component substitution error,Hazard involving: component substitution error.,3,1
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,4,2
Maintenance error,Hazard involving: maintenance error.,5,1
Power supply failure,Hazard involving: power supply failure.,4,4
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,5,5
Supervision failure,Hazard involving: supervision failure.,1,3
Pressure system failure,Hazard involving: pressure system failure.,3,5
Noise hazard,Hazard involving: noise hazard.,2,1
Design deviation,Hazard involving: design deviation.,4,5
Flammable materials,Hazard involving: flammable materials.,2,1
Fire suppression system failure,Hazard involving: fire suppression system failure.,2,1
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,2,4
Warning alarm failure,Hazard involving: warning alarm failure.,3,3
Warning alarm failure,Hazard involving: warning alarm failure.,1,3
Collision with object on track,Hazard involving: collision with object on track.,1,5
Component substitution error,Hazard involving: component substitution error.,2,3
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,4,4
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",5,4
User error,Hazard involving: user error.,1,2
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,2,3
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,2,5
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,4,3
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,3,1
Explosion potential,Hazard involving: explosion potential.,5,1
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,5,4
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,4,2
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,1,4
Person trapped,Hazard involving: person trapped.,3,2
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,3,2
Hazardous construction materials,Hazard involving: hazardous construction materials.,2,3
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",1,5
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,3,1
Explosive substances,Hazard involving: explosive substances.,1,1
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",3,1
Hazard containment failure,Hazard involving: hazard containment failure.,1,1
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,2,2
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,3,3
Warning alarm failure,Hazard involving: warning alarm failure.,3,2
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,3,2
Design deviation,Hazard involving: design deviation.,5,4
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,4,5
User error,Hazard involving: user error.,4,5
Impact from heavy object,Hazard involving: impact from heavy object.,2,1
Damage repair failure,Hazard involving: damage repair failure.,3,3
Damage repair failure,Hazard involving: damage repair failure.,4,1
User error,Hazard involving: user error.,5,1
Damage repair failure,Hazard involving: damage repair failure.,1,3
Explosion potential,Hazard involving: explosion potential.,5,3
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,4,3
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,1,1
Warning alarm failure,Hazard involving: warning alarm failure.,3,3
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,3,4
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,3,3
Damage containment failure,Hazard involving: damage containment failure.,1,3
Damage repair failure,Hazard involving: damage repair failure.,3,2
Hazard containment failure,Hazard involving: hazard containment failure.,2,3
Warning alarm failure,Hazard involving: warning alarm failure.,2,5
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,5,5
Collision with object on track,Hazard involving: collision with object on track.,2,2
Operator deviation,Hazard involving: operator deviation.,5,4
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,1,4
Electrical source hazard,Hazard involving: electrical source hazard.,2,3
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,1,1
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,3,2
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",5,4
Hazardous construction materials,Hazard involving: hazardous construction materials.,1,2
Explosive substances,Hazard involving: explosive substances.,2,3
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,4,3
Fire suppression system failure,Hazard involving: fire suppression system failure.,1,5
Sharp object exposure,Hazard involving: sharp object exposure.,1,4
Electrical source hazard,Hazard involving: electrical source hazard.,3,3
Damage containment failure,Hazard involving: damage containment failure.,5,4
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,1,3
Explosive substances,Hazard involving: explosive substances.,4,2
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,1,4
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,4,3
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,4,3
Explosion device,Hazard involving: explosion device.,3,4
Warning alarm failure,Hazard involving: warning alarm failure.,1,3
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,1,3
Support equipment hazard,Hazard involving: support equipment hazard.,4,4
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,4,5
Person trapped,Hazard involving: person trapped.,5,4
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,2,3
Warning alarm failure,Hazard involving: warning alarm failure.,5,5
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,3,1
Sharp object exposure,Hazard involving: sharp object exposure.,4,3
Explosive substances,Hazard involving: explosive substances.,1,1
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,2,5
Noise hazard,Hazard involving: noise hazard.,4,4
User error,Hazard involving: user error.,1,1
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,2,2
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,1,2
Crash safety hazard,Hazard involving: crash safety hazard.,3,1
Hostile act,Hazard involving: hostile act.,1,5
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,3,3
Explosion potential,Hazard involving: explosion potential.,1,4
Flammable materials,Hazard involving: flammable materials.,4,2
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",2,3
Explosion potential,Hazard involving: explosion potential.,2,3
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,1,5
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,1,3
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,1,5
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,1,4
Collision with rail structure,Hazard involving: collision with rail structure.,1,4
Incident recording failure,Hazard involving: incident recording failure.,1,2
Design deviation,Hazard involving: design deviation.,3,3
Damage containment failure,Hazard involving: damage containment failure.,3,3
Passive obstacle impact,Hazard involving: passive obstacle impact.,5,5
Explosive substances,Hazard involving: explosive substances.,4,5
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,2,5
Flying object impact,Hazard involving: flying object impact.,1,2
User error,Hazard involving: user error.,4,5
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,3,3
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,2,3
Laser radiation exposure,Hazard involving: laser radiation exposure.,4,2
Hazard containment failure,Hazard involving: hazard containment failure.,3,4
Hardware/software control failure,Hazard involving: hardware/software control failure.,1,5
Impact from heavy object,Hazard involving: impact from heavy object.,3,3
Sharp object exposure,Hazard involving: sharp object exposure.,1,3
Passive obstacle impact,Hazard involving: passive obstacle impact.,3,3
Collision with object on track,Hazard involving: collision with object on track.,1,5
Drop hazard,Hazard involving: drop hazard.,4,3
Electrical protection failure,Hazard involving: electrical protection failure.,2,5
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",5,3
